question,long_answer,final_decision
Is eligibility for a chemotherapy protocol a good prognostic factor for invasive bladder cancer after radical cystectomy?,"These data suggest that being willing and fit enough for a chemotherapy protocol is a good prognostic factor for invasive bladder cancer. This eligibility bias emphasizes the need for prospective, randomized trials, and indicates that single-group studies using historical or matched controls have to be interpreted with caution.",yes
Delayed imaging in routine CT examinations of the abdomen and pelvis: is it worth the additional cost of radiation and time?,"An additional delayed phase through the abdomen in routine contrast-enhanced CT examinations of the abdomen and pelvis is of low yield, particularly if reliable follow-up imaging to further elucidate uncertain findings is available.",no
Does the SCL 90-R obsessive-compulsive dimension identify cognitive impairments?,Our data suggest that the SCL 90-R is best viewed as an indicator of unidimensional emotional distress and somatic effects of structural brain injury.,yes
Is it possible to stop treatment with nucleos(t)ide analogs in patients with e-antigen negative chronic hepatitis B?,"The results suggest that NA treatment can be stopped in selected patients with CHB as long as they are not cirrhotic, have completed a minimum period of treatment, have normal ALT and sustained undetectable DNA. These patients should be closely monitored during the first year and then indefinitely.",maybe
The influence of atmospheric pressure on aortic aneurysm rupture--is the diameter of the aneurysm important?,The results of this study do not support the hypothesis that there is a direct link between atmospheric pressure values and abdominal aortic aneurysm ruptures.,maybe
Sternal skin conductance: a reasonable surrogate for hot flash measurement?,"Findings from these studies support discordance between device-recorded and self-reported hot flashes. In addition, the studies reveal further limitations of SSC monitoring, including difficulties with data collection and lack of consistency in interpretation. Based on these results and other recent trials identifying issues with SSC methodology, it is time to find a better physiologic surrogate measure for hot flashes.",no
Is prophylactic fixation a cost-effective method to prevent a future contralateral fragility hip fracture?,": Prophylactic fixation with a cephalomedullary nail was not found to be cost-effective for the average older woman who sustained a hip fracture. However, it may be appropriate for select patient populations. The study supports the need for basic science and clinical trials investigating the effectiveness of prophylactic fixation for patient populations at higher lifetime risk for contralateral hip fracture.",maybe
Does Residency Selection Criteria Predict Performance in Orthopaedic Surgery Residency?,"We found that USMLE Step 2, number of honors in medical school clerkships, and AOA membership demonstrated the strongest correlations with resident performance. Our goal in analyzing these data was to provide residency programs at large a sense of which criteria may be ""high yield"" in ranking applicants by analyzing data from within our own pool of residents. Similar studies across a broader scope of programs are warranted to confirm applicability of our findings. The continually emerging complexities of the field of orthopaedic surgery lend increasing importance to future work on the appropriate selection and training of orthopaedic residents.",yes
Antral follicle assessment as a tool for predicting outcome in IVF--is it a better predictor than age and FSH?,"In vitro fertilization outcome is strongly correlated with both maternal ages, basal cycle, day 3 follicle, stimulated hormone, and antral follicle assessment. Antral follicle assessment was a better predictor of in vitro fertilization outcome than were age or follicle stimulated hormone. Antral follicle assessment may provide a marker for ovarian age that is distinct from chronological age or hormonal markers.",maybe
Does feeding tube insertion and its timing improve survival?,Neither insertion of PEG tubes nor timing of insertion affect survival.,no
Does early discharge with nurse home visits affect adequacy of newborn metabolic screening?,"In this well established early discharge program with nurse home visits, newborn metabolic screening is not compromised by early discharge.",no
Does high-dose radiotherapy benefit palliative lung cancer patients?,"The palliative treatment concept of 25 Gy applied in 5 fractions is sufficient for radiation of lung cancer, given that there was no obvious survival improvement in patients treated with the higher total dose regimen.",no
Is there a role for leukocyte and CRP measurements in the diagnosis of acute appendicitis in the elderly?,"Although elevated leukocyte count and CRP value cannot effectively establish the diagnosis of acute appendicitis in the elderly, unelevated values exclude it. Accordingly, appendectomy is not recommended to be performed in an elderly patient with unelevated leukocyte count and CRP value, although clinical symptoms and signs indicate acute appendicitis.",maybe
Does desflurane alter left ventricular function when used to control surgical stimulation during aortic surgery?,"This study demonstrates that in patients at risk for cardiac morbidity undergoing vascular surgery, desflurane is effective to control intraoperative hypertension without fear of major cardiac depressant effect.",no
Gluten tolerance in adult patients with celiac disease 20 years after diagnosis?,"Development of tolerance to gluten seems possible in some patients with CD. Further follow-up will show whether this tolerance is permanent or only a long-term return to latency. This feature may be associated with genetic characteristics, especially with HLA genotypes that differ from DQ2 or DQ8. More insight into the mechanisms of the development of gluten tolerance may help to distinguish those CD patients that might not require life-long GFD.",maybe
Are WHO/UNAIDS/UNICEF-recommended replacement milks for infants of HIV-infected mothers appropriate in the South African context?,"No home-prepared replacement milks in South Africa meet all estimated micronutrient and essential fatty acid requirements of infants aged<6 months. Commercial infant formula is the only replacement milk that meets all nutritional needs. Revisions of WHO/UNAIDS/UNICEF HIV and infant feeding course replacement milk options are needed. If replacement milks are to provide total nutrition, preparations should include vegetable oils, such as soybean oil, as a source of linoleic and alpha-linolenic acids, and additional vitamins and minerals.",no
Do inhaled corticosteroids affect perception of dyspnea during bronchoconstriction in asthma?,We have shown that eosinophilic inflammation of the airway wall may increase PD and that the association of eosinophil counts with ICSs may result in lessening the PD.,yes
Are acceptance rates of a national preventive home visit programme for older people socially imbalanced?,"High socioeconomic status was associated with a higher acceptance rate of preventive home visits, but the association was attenuated by invitational procedures. The results indicate that the social inequality in acceptance of publicly offered preventive services might decrease if municipalities adopt more proactive invitational procedures.",yes
Is there a correlation between androgens and sexual desire in women?,"In the present study, FT and androstenedione were statistically significantly correlated with sexual desire in the total cohort of women. ADT-G did not correlate more strongly than circulating androgens with sexual desire and is therefore not superior to measuring circulating androgens by mass spectrometry.",yes
Major depression and alcohol use disorder in adolescence: Does comorbidity lead to poorer outcomes of depression?,"The results of these analyses suggest that marginally higher rates of depression to age 35 amongst the comorbid MD/AUD group were explained by increased exposure to adverse childhood circumstances amongst members of the comorbid group. Adolescent MD/AUD comorbidity is likely to be a risk marker, rather than a causal factor in subsequent MD.",no
