question,long_answer,final_decision
Is there a differential in the dental health of new recruits to the British Armed Forces?,A significant difference in dental health between recruits to each Service does exist and is a likely to be a reflection of the sociodemographic background from which they are drawn.,yes
Do episodic migraineurs selectively attend to headache-related visual stimuli?,"In light of the large sample size and prior pilot testing of presented images, results suggest that episodic migraineurs do not differentially attend to headache-related facial stimuli. Given modest evidence of attentional biases among chronic headache samples, these findings suggest potential differences in attentional processing between chronic and episodic headache subforms.",no
Can students' scores on preclerkship clinical performance examinations predict that they will fail a senior clinical performance examination?,"Under the conditions of this study, preclerkship (year 2) CPEs strongly predicted medical students at risk for failing a senior CPE. This finding opens the opportunity for remediation of deficits prior to or during clerkships.",yes
Does responsibility affect the public's valuation of health care interventions?,"Our results suggest that people do not attach a simple fixed premium to ""safety-related"" interventions but that preferences depend more subtly on context. The use of the results of such public preference surveys to directly inform policy would therefore be premature.",maybe
Can dose reduction to one parotid gland prevent xerostomia?,Minimising the radiation dose to one of the parotid glands with the help of IMRT in patients with advanced head and neck cancers can prevent xerostomia in most patients and parotid scintigraphy is a useful method of documenting xerostomia.,yes
Do patients with rheumatoid arthritis established on methotrexate and folic acid 5 mg daily need to continue folic acid supplements long term?,"It is important to continue FA supplementation over the long term in patients on methotrexate and FA in order to prevent them discontinuing treatment because of mouth ulcers or nausea and vomiting. Our data suggest that FA supplementation is also helpful in preventing neutropenia, with very little loss of efficacy of methotrexate.",yes
Residual fundus or neofundus after laparoscopic sleeve gastrectomy: is fundectomy safe and effective as revision surgery?,LF and cruroplasty is feasible and has good results in terms of GERD symptoms control and additional weight loss. The high rate of postoperative complications observed in this series remains a matter of concern. A re-sleeve procedure might be considered as an alternative to RYGB/DS conversion restricted to selected patients.,maybe
Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,"VAT area measurement at a single level 3 cm above the lower margin of the L3 vertebra is feasible and can reflect changes in VAT volume and body weight. Advances in knowledge: As VAT area at a CT slice 3cm above the lower margin of L3 can best reflect interval changes in VAT volume and body weight, VAT area measurement should be selected at this location.",yes
Is cytokeratin immunoreactivity useful in the diagnosis of short-segment Barrett's oesophagus in Korea?,"Barrett's cytokeratin 7/20 pattern can be a useful marker for the diagnosis of short-segment Barrett's oesophagus, although the false positive or false negative rate is approximately 25%.",yes
Does lunar position influence the time of delivery?,"In this paper the effect of lunar phases on the time of delivery is shown. This influence seems to be especially relevant in the case of multiparae and plurigravidae. Nevertheless, it is too weak to allow for prediction regarding the days with the highest frequency of deliveries.",yes
Are financial incentives cost-effective to support smoking cessation during pregnancy?,"Financial incentives for smoking cessation in pregnancy are highly cost-effective, with an incremental cost per quality-adjusted life years of £482, which is well below recommended decision thresholds.",yes
A short stay or 23-hour ward in a general and academic children's hospital: are they effective?,This data demonstrates the robust nature of the short stay ward. At these two very different institutions we have shown improved bed efficient and patient care in a cost-effective way. We have also reported on greater parental satisfaction and early return of the child with their family to the community.,yes
Transsphenoidal pituitary surgery in Cushing's disease: can we predict outcome?,"Transsphenoidal pituitary surgery is a safe method of treatment in patients with Cushing's disease. Operative findings, radiological and histological findings, together with early postoperative serum cortisol and urine free cortisol estimates may identify failures in treatment. Alternative treatment might then be required for these patients. Because of the risk of late relapse, patients require life-long follow-up.",yes
Chronic functional somatic symptoms: a single syndrome?,"Patients with chronic functional somatic symptoms have a great diversity of functional somatic symptoms. They use more somatic and psychotropic drugs than controls in the years before diagnosis. Moreover, they show high rates of referrals and psychiatric morbidity. The diversity of symptoms of patients with chronic functional somatic symptoms supports the concept that symptoms do not cluster in well defined distinct syndromes. Therefore, patients with chronic functional somatic symptoms should preferably not be classified into medical subspecialty syndromes.",no
Multidisciplinary decisions in breast cancer: does the patient receive what the team has recommended?,The vast majority of MDT decisions are implemented. Management alteration was most often due to patient choice or additional information available after the MDT. A minority of management alterations were 'unjustifiable' and the authors recommend that any patient whose treatment is subsequently changed should have MDT rediscussion prior to treatment.,yes
Is Panton-Valentine leucocidin associated with the pathogenesis of Staphylococcus aureus bacteraemia in the UK?,We found that 1.6% of S. aureus (all MSSA) from bacteraemic patients were PVL-positive. This low incidence suggests that PVL-positive S. aureus are of no particular significance as causative agents of S. aureus bacteraemia.,maybe
Can dogs prime autistic children for therapy?,"These findings are in accordance with previous experimental work and provide additional support for the assertion that dogs can prime autistic children for therapy. Ultimately, this study may contribute toward a change for full acceptance of canine-assisted therapy programs within the medical milieu. Additional studies using a similar research protocol on more autistic children will certainly help professionals to work on the most effective methods to individually serve this population through canine-assisted interventions.",yes
The insertion allele of the ACE gene I/D polymorphism. A candidate gene for insulin resistance?,"We conclude that increased cardiovascular risk of the DD genotype is not mediated through insulin resistance or abnormalities in fibrinolysis. Conversely, we report an increased sensitivity in NIDDM subjects with the ACE DD genotype.",no
Long-term significance of postictal psychotic episodes II. Are they predictive of interictal psychotic episodes?,"A history of PIPE may be a risk factor for the development of IPE. Yet, the disappearance of significance on multivariate analysis indicates that it is not an independent predictor.",yes
Would corrected QT dispersion predict left ventricular hypertrophy in hypertensive patients?,"QTcD is significantly increased in hypertensive patients with LVH compared with those without, being strongly correlated with the indices of LVH. A QTcD cut-off value of 60 ms predicted LVH in hypertensive patients with a high sensitivity and specificity.",yes
